"Year,""Trade.Flow"",""Reporter"",""Commodity.Code"",""Trade.Value..US.."",""Group"""
"2010,""Exports"",""Ukraine"",202,8112710,""CIS"""
"2010,""Exports"",""Ukraine"",202,4011701,""CIS"""
"2010,""Exports"",""Ukraine"",202,3606913,""CIS"""
"2010,""Exports"",""Ukraine"",202,3387579,""CIS"""
"2010,""Exports"",""Ukraine"",202,3100642,""CIS"""
"2010,""Exports"",""Ukraine"",202,3510456,""CIS"""
"2010,""Exports"",""Ukraine"",202,3717539,""CIS"""
"2010,""Exports"",""Ukraine"",202,538378,""CIS"""
"2010,""Exports"",""Ukraine"",202,830503,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,233386,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,151954,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,466030,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,164436,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,386794,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,289137,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,644496,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,763217,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,552912,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,583560,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,983059,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",202,632703,""CIS"""
"2011,""Exports"",""Ukraine"",202,435902,""CIS"""
"2011,""Exports"",""Ukraine"",202,3499530,""CIS"""
"2011,""Exports"",""Ukraine"",202,5961770,""CIS"""
"2011,""Exports"",""Ukraine"",202,3606538,""CIS"""
"2011,""Exports"",""Ukraine"",202,2990358,""CIS"""
"2011,""Exports"",""Ukraine"",202,4805662,""CIS"""
"2011,""Exports"",""Ukraine"",202,5289298,""CIS"""
"2011,""Exports"",""Ukraine"",202,1656273,""CIS"""
"2011,""Exports"",""Ukraine"",202,1885378,""CIS"""
"2011,""Exports"",""Ukraine"",202,1182890,""CIS"""
"2011,""Exports"",""Ukraine"",202,2232536,""CIS"""
"2011,""Exports"",""Ukraine"",202,1331389,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,291186,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,226041,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,328350,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,542659,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,635147,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,369746,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,406594,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,509019,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,546066,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,644475,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,371548,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",202,116290,""CIS"""
"2012,""Exports"",""Ukraine"",202,1619062,""CIS"""
"2012,""Exports"",""Ukraine"",202,1983940,""CIS"""
"2012,""Exports"",""Ukraine"",202,2959382,""CIS"""
"2012,""Exports"",""Ukraine"",202,3306636,""CIS"""
"2012,""Exports"",""Ukraine"",202,2181398,""CIS"""
"2012,""Exports"",""Ukraine"",202,1605038,""CIS"""
"2012,""Exports"",""Ukraine"",202,1951567,""CIS"""
"2012,""Exports"",""Ukraine"",202,2932746,""CIS"""
"2012,""Exports"",""Ukraine"",202,2367091,""CIS"""
"2012,""Exports"",""Ukraine"",202,2560185,""CIS"""
"2012,""Exports"",""Ukraine"",202,1853596,""CIS"""
"2012,""Exports"",""Ukraine"",202,1071994,""CIS"""
"2013,""Imports"",""Armenia"",202,18,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,384847,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,289353,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,294008,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,72205,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,47324,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,141042,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,134677,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",202,327798,""CIS"""
"2013,""Exports"",""Ukraine"",202,781267,""CIS"""
"2013,""Exports"",""Ukraine"",202,592236,""CIS"""
"2013,""Exports"",""Ukraine"",202,1214549,""CIS"""
"2013,""Exports"",""Ukraine"",202,1380344,""CIS"""
"2013,""Exports"",""Ukraine"",202,1709531,""CIS"""
"2013,""Exports"",""Ukraine"",202,2107894,""CIS"""
"2013,""Exports"",""Ukraine"",202,2038407,""CIS"""
"2013,""Exports"",""Ukraine"",202,1333015,""CIS"""
"2013,""Exports"",""Ukraine"",202,2658028,""CIS"""
"2013,""Exports"",""Ukraine"",202,3690555,""CIS"""
"2013,""Exports"",""Ukraine"",202,3405283,""CIS"""
"2013,""Exports"",""Ukraine"",202,1745889,""CIS"""
"2014,""Imports"",""Armenia"",202,24,""CIS"""
"2014,""Imports"",""Armenia"",202,10,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,39398,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,15142,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,61428,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,63013,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,183516,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,252030,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,142099,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,328811,""CIS"""
"2014,""Exports"",""Rep. of Moldova"",202,1031375,""CIS"""
"2014,""Exports"",""Ukraine"",202,1476887,""CIS"""
"2014,""Exports"",""Ukraine"",202,826487,""CIS"""
"2014,""Exports"",""Ukraine"",202,293188,""CIS"""
"2014,""Exports"",""Ukraine"",202,1605194,""CIS"""
"2014,""Imports"",""Ukraine"",202,58916,""CIS"""
"2014,""Exports"",""Ukraine"",202,2266516,""CIS"""
"2014,""Exports"",""Ukraine"",202,2652061,""CIS"""
"2014,""Imports"",""Ukraine"",202,78021,""CIS"""
"2014,""Exports"",""Ukraine"",202,2906155,""CIS"""
"2014,""Exports"",""Ukraine"",202,2860004,""CIS"""
"2014,""Exports"",""Ukraine"",202,2175832,""CIS"""
"2014,""Exports"",""Ukraine"",202,3278935,""CIS"""
"2014,""Exports"",""Ukraine"",202,853545,""CIS"""
"2014,""Exports"",""Ukraine"",202,1893399,""CIS"""
"2015,""Imports"",""Armenia"",202,2867,""CIS"""
"2015,""Imports"",""Armenia"",202,2052,""CIS"""
"2015,""Imports"",""Armenia"",202,9378,""CIS"""
"2015,""Imports"",""Armenia"",202,3447,""CIS"""
"2015,""Imports"",""Armenia"",202,2777,""CIS"""
"2015,""Imports"",""Armenia"",202,4280,""CIS"""
"2015,""Imports"",""Kyrgyzstan"",202,1909,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,107250,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,187816,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,316240,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,390924,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,348780,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,729038,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,1017705,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",202,271610,""CIS"""
"2015,""Exports"",""Ukraine"",202,1168979,""CIS"""
"2015,""Exports"",""Ukraine"",202,1408435,""CIS"""
"2016,""Imports"",""Azerbaijan"",202,2468,""CIS"""
"2016,""Imports"",""Azerbaijan"",202,9999,""CIS"""
"2016,""Imports"",""Azerbaijan"",202,4286,""CIS"""
"2016,""Imports"",""Azerbaijan"",202,2740,""CIS"""
"2016,""Imports"",""Azerbaijan"",202,6344,""CIS"""
"2016,""Imports"",""Azerbaijan"",202,7063,""CIS"""
"2016,""Imports"",""Armenia"",202,2626,""CIS"""
